sha256	path	family	role
07cd29b9f3af0b2b8cfca39ac6df424976253aca232489cefb50d0a7db68774b	src/transformations/expressions/transformCallExpression.ts	macro-groups	call-macro-dispatch
0fa149cb4b54161e6ff51b04b74ca892678ae8b27dddf173d17971d48c5c14a5	src/transformations/expressions/transformDeleteExpression.ts	networking	obfuscated-delete-access
554684f004f11159fd57c41b792d027d5542879c030ac56290dbec866fb43635	src/transformations/expressions/transformNewExpression.ts	macro-groups	constructor-macro-dispatch
a8a92a0e1c3b343974d43d52577f3ed63c301990cc244c55cb9cb987cd145014	src/transformations/expressions/transformUnaryExpression.ts	networking	obfuscated-unary-access
077916bb0dd7552233d0d859f279ff4816f1367310a9d8510dc2eb6182ef2437	src/transformations/macros/intrinsics/guards.ts	guards	tuple-guard-intrinsic
5a6bce7542cec5a8205fc2f668e2ca8940c895ba360d1f47ce0be69f86f6406a	src/transformations/macros/intrinsics/inlining.ts	macro-groups	inline-intrinsic
2ac9bf9fd13d442cc5b44af11bcc71550235d31edf37c8de496d9acd0bd8c53f	src/transformations/macros/intrinsics/networking.ts	networking	remote-obfuscation-and-declaration-id
7cdd52d8f1707d32835d0a04358c8690b5ad3e44a6c81aee6e0626016cddf9a1	src/transformations/macros/intrinsics/parameters.ts	macro-groups	constant-parameter-validation
c07c12f1033bdd299c4287729feb8ec9f713afa181c444a5ebbb9e02e76a4adc	src/transformations/macros/intrinsics/paths.ts	macro-paths	path-and-glob-intrinsics
c624387d87156991e089a4ed48e5f56e880f0d7d79e3c6105ce225985efe4158	src/transformations/macros/intrinsics/symbol.ts	class-decorator-di	symbol-id-intrinsic
7659ac7037986af86eccb93f73d2da71b6bf5c1f34e36d2d36f0bf0c22f3315a	src/transformations/macros/updateComponentConfig.ts	component-attributes	attribute-and-instance-guards
fe224fe2a5fb2aad00cdf086de871d3d3919c1fdc0abbf4dc253e7753ea0e7d6	src/transformations/statements/transformClassDeclaration.ts	class-decorator-di	class-metadata-decorators-injection
6f86f715dbba55134acfd1705dcc46ae208aea3ffceec4c72782f079483d2555	src/transformations/transformExpression.ts	dispatch	expression-dispatch
516f5b108d50e23a600df88f8eebad2028ea2125dae1e4b5a32a960fbd8b880a	src/transformations/transformFile.ts	dispatch	file-transform-and-imports
e82244ab4602b57a04c1d7a5f55812a7f66bec7ce6112d3ada9d0320170f35d1	src/transformations/transformNode.ts	dispatch	node-dispatch
17c3e93cd1fe5c18c6160b1efc40da663f7fb1443e314bc40807ecc293176293	src/transformations/transformStatement.ts	dispatch	statement-dispatch
87462ddfe38a7af375db6bbc6f551f4ed038c3e413663313db05963410742c75	src/transformations/transformStatementList.ts	dispatch	statement-prerequisite-ordering
02f2948a5f209c015e89648e4239d7a74a43e6235506598e8aed7cef7b8999fa	src/transformations/transformUserMacro.ts	macro-groups	user-macro-expansion
224e57641ca18daf3fabd05681748b6bde0b86ac97e2609d143902f540c112ab	src/transformer.ts	entrypoint	transformer-factory
e02633db58094b7dd5e62128a25ef69204ecd8342f73e06c99caeb303b7fa36b	src/types/classes.d.ts	class-decorator-di	class-analysis-types
2747a431ab743b48b950dca4e0d124252bfb8f01f0c88cf8933868f9d013d3b3	src/types/decorators.d.ts	class-decorator-di	decorator-analysis-types
5c9313cdc3d3980f0975a55b9de9ef58674a7d56c636bdf43626cb5428a296ce	src/util/cache.ts	package-metadata-options	process-cache
afd41a93a195bea15696494c84e262c239ef15976685f8ff8acfd2b9c425f50f	src/util/diagnosticsUtils.ts	invalid-diagnostics	diagnostic-context
b696cd7fd0fd30bb0a563a844874d81e0abf49ab2498acd1cd3b5c8adec0ab2c	src/util/factory.ts	dispatch	ast-factory
e6dbb18071dc14a20a44b1ab0933779642cc22a32308e0ef1ceb5950c891f960	src/util/functions/addLeadingComment.ts	class-decorator-di	emitted-section-comment
e4b03b55b823bd462f74173eb08435a575e91e62fdb8886ba73488a0c6dc8d7b	src/util/functions/arePathsEqual.ts	package-metadata-options	path-equality
b21d88c015399748a8074289fc014645e3911437722db22ef6131081ae7d9ddf	src/util/functions/assert.ts	invalid-diagnostics	invariant-diagnostic
49a2831d58ee3ebb6d4fd3a4227282091a820d38795bee094f61141aeec377e8	src/util/functions/buildGuardFromType.ts	guards	type-guard-generation-and-dedup
80d7deff2e194bd1657e0ce56f74be13b14d50085d026a38082520aabd335c35	src/util/functions/createPathTranslator.ts	macro-paths	path-translator-construction
e96eb52bdc8884424972695a8fd4b0eb41dd90fbb194e9ea3048e6bfc0929a3d	src/util/functions/emitTypescriptMismatch.ts	invalid-diagnostics	typescript-version-diagnostic
66d1a1b3949190c0b8a60d72d7fac767ea95445c6b7c11512db59fdc4ce14a7f	src/util/functions/getDeclarationName.ts	class-decorator-di	declaration-name
53e9e41021d170cbbd8cdfdbe0a1c3039b1be79c03d3a3755a2864281db33010	src/util/functions/getDeclarationOfType.ts	guards	type-declaration-location
4c9be6ddbc83603e5b16b45b6d19ea578855e23e4993fc0edcb1e0b59f1a9d46	src/util/functions/getIndexExpression.ts	networking	index-expression-normalization
8245e46deca1dbb776bf9ac22e7c744366c6286f4a91405a1b3b66efd1c299f2	src/util/functions/getInstanceTypeFromType.ts	component-attributes	instance-type-resolution
b36ad1f904e5d2a3a978f973f380b0d36f804fd6074933f76b6a794cdc0fe01c	src/util/functions/getNodeList.ts	dispatch	node-list-normalization
ca61eb300c50123c1c85c2263f876270af93ac11026998972730b6109340af42	src/util/functions/getPackageJson.ts	package-metadata-options	package-boundary-resolution
8acffa7fdd9400faca4a5b95c0bba4b6fac55390601a1f124f473130aa087c14	src/util/functions/getPrettyName.ts	invalid-diagnostics	diagnostic-type-name
1dd3bfe37939fd991cc5c72cfbfa03388a8abe90fd9c910206d89ed30146f1e1	src/util/functions/getSuperClasses.ts	component-attributes	superclass-resolution
92839e92f439aca2d089a9e3fce18fa8c39c8051dc720ad97a6529ed6321c079	src/util/functions/getUniversalTypeNode.ts	class-decorator-di	universal-type-node
150f2c0e712c1bfa27a7fc0d08964b7ce1f64c03da0b671272a4c70c8253812c	src/util/functions/isAttributesAccess.ts	component-attributes	attribute-access-detection
40e051416a5200a376142b35465dd3b2f450c82f87d57dbdb8bb20f2239aa317	src/util/functions/isCleanBuildDirectory.ts	package-metadata-options	clean-build-detection
88172e698f73dc34feb5dbbd8fd5812da843af399c2e2be567e42e165cbdc6c4	src/util/functions/isDefinedType.ts	guards	defined-type-detection
5b6c891463bba658d59df64b2e011d8219ebb233558b199eaf9c11ad9d3ea58d	src/util/functions/isPathDescendantOf.ts	package-metadata-options	path-containment
f0855a8ec4814ecb33406b1271b6f0e5e7a697b70dc990d527f9f1946bced2e3	src/util/functions/isTupleType.ts	guards	tuple-and-array-detection
98d49894e9f33b9147a3485e63b4d0ecdf704c3fefc1e36388f4d09ee9277fb4	src/util/functions/parseCommandLine.ts	package-metadata-options	compiler-option-parsing
85af578d4e15b3e3ec08e6f1a3a900614201eea48be5538ccdecd9ed3bddb13f	src/util/functions/replaceValue.ts	dispatch	ast-value-replacement
79c0ad6d1d6fb41d4a61f1b36f9e41bcea07cdcf7165e5be4c43c074103fb88a	src/util/functions/shuffle.ts	networking	obfuscation-shuffle
0aa7e2296f7d8b7af6e11e33183a11e38b3ebac59f548e913508de47b6b21625	src/util/functions/tryResolve.ts	package-metadata-options	module-resolution
85ff01e40ae6849403bf71066a848a02c83434e021699df695fa53c45b10a320	src/util/functions/wrapToBlock.ts	dispatch	statement-block-normalization
0c7079d584f1e5b06529a569b0b06bc2250f5e52e0830dc9266e6115861147b9	src/util/schema.ts	package-metadata-options	schema-validation
bb7deb870130bf98dc6a794919eac2c277eb3b9ebea3c5384e134172dc10dbd5	src/util/uid.ts	class-decorator-di	stable-identifier-generation
